anio,semana,chart_date,country_code,banda,label_group,pct_streams
2021,10,2021-03-11,CO,50,Orchard,0.10515869
2021,10,2021-03-11,CO,50,Warner,0.04382073
2021,10,2021-03-11,CO,50,Indies,0.01899289
2021,10,2021-03-11,CO,100,Universal,0.30285829
2021,10,2021-03-11,CO,100,INgrooves,0.05756225
2021,10,2021-03-11,CO,100,Virgin,0.0
2021,10,2021-03-11,CO,100,Sony,0.42586665
2021,10,2021-03-11,CO,100,Orchard,0.11931909
2021,10,2021-03-11,CO,100,Warner,0.06012797
2021,10,2021-03-11,CO,100,Indies,0.03426574
2021,10,2021-03-11,CO,200,Universal,0.31357219
2021,10,2021-03-11,CO,200,INgrooves,0.052291
2021,10,2021-03-11,CO,200,Virgin,0.0
2021,10,2021-03-11,CO,200,Sony,0.38089779
2021,10,2021-03-11,CO,200,Orchard,0.12119917
2021,10,2021-03-11,CO,200,Warner,0.09714508
2021,10,2021-03-11,CO,200,Indies,0.03489478
2021,11,2021-03-18,CO,10,Universal,0.35616729
2021,11,2021-03-18,CO,10,INgrooves,0.0
2021,11,2021-03-18,CO,10,Virgin,0.0
2021,11,2021-03-18,CO,10,Sony,0.47032551
2021,11,2021-03-18,CO,10,Orchard,0.1735072
2021,11,2021-03-18,CO,10,Warner,0.0
2021,11,2021-03-18,CO,10,Indies,0.0
2021,11,2021-03-18,CO,20,Universal,0.32604446
2021,11,2021-03-18,CO,20,INgrooves,0.04548603
2021,11,2021-03-18,CO,20,Virgin,0.0
2021,11,2021-03-18,CO,20,Sony,0.47925883
2021,11,2021-03-18,CO,20,Orchard,0.14921068
2021,11,2021-03-18,CO,20,Warner,0.0
2021,11,2021-03-18,CO,20,Indies,0.0
2021,11,2021-03-18,CO,50,Universal,0.31367849
2021,11,2021-03-18,CO,50,INgrooves,0.06023023
2021,11,2021-03-18,CO,50,Virgin,0.0
2021,11,2021-03-18,CO,50,Sony,0.4552024
2021,11,2021-03-18,CO,50,Orchard,0.09913267
2021,11,2021-03-18,CO,50,Warner,0.05302898
2021,11,2021-03-18,CO,50,Indies,0.01872723
2021,11,2021-03-18,CO,100,Universal,0.31492281
2021,11,2021-03-18,CO,100,INgrooves,0.06089962
2021,11,2021-03-18,CO,100,Virgin,0.0
2021,11,2021-03-18,CO,100,Sony,0.39571574
2021,11,2021-03-18,CO,100,Orchard,0.11915291
2021,11,2021-03-18,CO,100,Warner,0.07113771
2021,11,2021-03-18,CO,100,Indies,0.03817122
2021,11,2021-03-18,CO,200,Universal,0.32836561
2021,11,2021-03-18,CO,200,INgrooves,0.0543678
2021,11,2021-03-18,CO,200,Virgin,0.0
2021,11,2021-03-18,CO,200,Sony,0.35443996
2021,11,2021-03-18,CO,200,Orchard,0.12431247
2021,11,2021-03-18,CO,200,Warner,0.10061096
2021,11,2021-03-18,CO,200,Indies,0.0379032
2021,12,2021-03-25,CO,10,Universal,0.34755717
2021,12,2021-03-25,CO,10,INgrooves,0.0870125
2021,12,2021-03-25,CO,10,Virgin,0.0
2021,12,2021-03-25,CO,10,Sony,0.29310368
2021,12,2021-03-25,CO,10,Orchard,0.27232665
2021,12,2021-03-25,CO,10,Warner,0.0
2021,12,2021-03-25,CO,10,Indies,0.0
2021,12,2021-03-25,CO,20,Universal,0.3289587
2021,12,2021-03-25,CO,20,INgrooves,0.05077237
2021,12,2021-03-25,CO,20,Virgin,0.0
2021,12,2021-03-25,CO,20,Sony,0.46136455
2021,12,2021-03-25,CO,20,Orchard,0.15890439
2021,12,2021-03-25,CO,20,Warner,0.0
2021,12,2021-03-25,CO,20,Indies,0.0
