anio,semana,mes,country_code,banda,conteo_universal
2019,6,FEBRERO,HN,30,13
2019,6,FEBRERO,HN,50,21
2019,6,FEBRERO,HN,100,35
2019,6,FEBRERO,HN,200,63
2019,6,FEBRERO,NI,10,4
2019,6,FEBRERO,NI,30,13
2019,6,FEBRERO,NI,50,21
2019,6,FEBRERO,NI,100,37
2019,6,FEBRERO,NI,200,70
2019,6,FEBRERO,DO,10,1
2019,6,FEBRERO,DO,30,7
2019,6,FEBRERO,DO,50,10
2019,6,FEBRERO,DO,100,27
2019,6,FEBRERO,DO,200,46
2019,6,FEBRERO,MX,10,3
2019,6,FEBRERO,MX,30,14
2019,6,FEBRERO,MX,50,23
2019,6,FEBRERO,MX,100,38
2019,6,FEBRERO,MX,200,71
2019,6,FEBRERO,SP,10,3
2019,6,FEBRERO,SP,30,12
2019,6,FEBRERO,SP,50,21
2019,6,FEBRERO,SP,100,45
2019,6,FEBRERO,SP,200,79
2019,6,FEBRERO,CL,10,3
2019,6,FEBRERO,CL,30,9
2019,6,FEBRERO,CL,50,15
2019,6,FEBRERO,CL,100,31
2019,6,FEBRERO,CL,200,57
2019,6,FEBRERO,AR,10,4
2019,6,FEBRERO,AR,30,12
2019,6,FEBRERO,AR,50,18
2019,6,FEBRERO,AR,100,30
2019,6,FEBRERO,AR,200,58
2019,6,FEBRERO,BR,10,4
2019,6,FEBRERO,BR,30,6
2019,6,FEBRERO,BR,50,11
2019,6,FEBRERO,BR,100,23
2019,6,FEBRERO,BR,200,44
2019,6,FEBRERO,PT,10,6
2019,6,FEBRERO,PT,30,11
2019,6,FEBRERO,PT,50,17
2019,6,FEBRERO,PT,100,35
2019,6,FEBRERO,PT,200,71
2019,7,FEBRERO,CO,10,3
2019,7,FEBRERO,CO,30,11
2019,7,FEBRERO,CO,50,19
2019,7,FEBRERO,CO,100,39
2019,7,FEBRERO,CO,200,73
2019,7,FEBRERO,PE,10,3
2019,7,FEBRERO,PE,30,11
2019,7,FEBRERO,PE,50,18
2019,7,FEBRERO,PE,100,30
2019,7,FEBRERO,PE,200,66
2019,7,FEBRERO,EC,10,3
2019,7,FEBRERO,EC,30,13
2019,7,FEBRERO,EC,50,14
2019,7,FEBRERO,EC,100,37
2019,7,FEBRERO,EC,200,70
2019,7,FEBRERO,PN,10,3
2019,7,FEBRERO,PN,30,9
2019,7,FEBRERO,PN,50,19
2019,7,FEBRERO,PN,100,37
2019,7,FEBRERO,PN,200,63
2019,7,FEBRERO,CR,10,3
2019,7,FEBRERO,CR,30,13
2019,7,FEBRERO,CR,50,26
2019,7,FEBRERO,CR,100,44
2019,7,FEBRERO,CR,200,82
2019,7,FEBRERO,GT,10,2
2019,7,FEBRERO,GT,30,13
2019,7,FEBRERO,GT,50,21
2019,7,FEBRERO,GT,100,40
2019,7,FEBRERO,GT,200,71
2019,7,FEBRERO,SV,10,3
2019,7,FEBRERO,SV,30,14
2019,7,FEBRERO,SV,50,21
2019,7,FEBRERO,SV,100,42
2019,7,FEBRERO,SV,200,75
2019,7,FEBRERO,HN,10,2
2019,7,FEBRERO,HN,30,13
2019,7,FEBRERO,HN,50,22
2019,7,FEBRERO,HN,100,41
2019,7,FEBRERO,HN,200,68
2019,7,FEBRERO,NI,10,5
2019,7,FEBRERO,NI,30,13
2019,7,FEBRERO,NI,50,21
2019,7,FEBRERO,NI,100,41
2019,7,FEBRERO,NI,200,76
2019,7,FEBRERO,DO,10,2
2019,7,FEBRERO,DO,30,8
2019,7,FEBRERO,DO,50,11
2019,7,FEBRERO,DO,100,31
